session_id,player_id,acquisition_channel,session_date,days_since_signup,game_category,device,session_minutes,bets_placed,net_revenue_usd
S000060,P100004,Retail Crossover,2026-04-23,306,Sportsbook,Mobile Web,43,19,-10.33
S000061,P100004,Retail Crossover,2026-05-07,320,Slots,Mobile Web,7,22,3.4
S000062,P100004,Retail Crossover,2026-05-09,322,Bingo,Android App,12,7,3.02
S000063,P100004,Retail Crossover,2026-05-23,336,Sportsbook,Desktop,11,28,-5.43
S000064,P100004,Retail Crossover,2026-05-25,338,Bingo,Mobile Web,14,25,39.04
S000065,P100004,Retail Crossover,2026-05-27,340,Table Games,Mobile Web,60,53,-53.55
S000066,P100004,Retail Crossover,2026-05-29,342,Slots,Desktop,16,50,125.26
S000067,P100004,Retail Crossover,2026-05-30,343,Live Dealer,Mobile Web,7,14,10.52
S000068,P100004,Retail Crossover,2026-06-04,348,Live Dealer,Android App,45,55,66.65
S000069,P100004,Retail Crossover,2026-06-05,349,Bingo,Android App,42,21,12.11
S000070,P100004,Retail Crossover,2026-06-06,350,Slots,Mobile Web,30,76,-19.66
S000071,P100004,Retail Crossover,2026-06-14,358,Table Games,Mobile Web,23,47,-77.97
S000072,P100004,Retail Crossover,2026-06-22,366,Sportsbook,iOS App,18,54,-184.52
S000073,P100004,Retail Crossover,2026-06-30,374,Table Games,iOS App,35,107,-127.39
S000074,P100004,Retail Crossover,2026-07-03,377,Sportsbook,iOS App,52,141,-8.47
S000075,P100004,Retail Crossover,2026-07-04,378,Bingo,Android App,9,10,4.08
S000076,P100004,Retail Crossover,2026-07-06,380,Bingo,Desktop,12,18,6.77
S000077,P100004,Retail Crossover,2026-07-07,381,Live Dealer,iOS App,16,31,53.07
S000078,P100004,Retail Crossover,2026-07-10,384,Slots,Mobile Web,13,40,-94.0
S000079,P100004,Retail Crossover,2026-07-15,389,Bingo,Android App,74,91,-85.68
S000080,P100004,Retail Crossover,2026-07-17,391,Sportsbook,iOS App,18,46,275.63
S000081,P100004,Retail Crossover,2026-07-20,394,Table Games,iOS App,32,82,155.79
S000082,P100004,Retail Crossover,2026-07-22,396,Table Games,Android App,35,29,66.79
S000083,P100004,Retail Crossover,2026-07-30,404,Slots,Android App,32,89,21.29
S000084,P100004,Retail Crossover,2026-07-31,405,Live Dealer,iOS App,11,26,76.39
S000085,P100005,Retail Crossover,2025-05-07,0,Slots,Desktop,7,14,-0.68
S000086,P100006,Organic,2025-01-23,0,Table Games,iOS App,10,7,6.63
S000087,P100006,Organic,2025-02-06,14,Slots,Mobile Web,11,19,-15.06
S000088,P100006,Organic,2025-02-09,17,Sportsbook,Desktop,11,19,-24.91
S000089,P100007,Paid Search,2025-04-05,0,Slots,iOS App,34,108,-49.27
S000090,P100007,Paid Search,2025-04-07,2,Live Dealer,iOS App,23,16,-3.02
S000091,P100007,Paid Search,2025-04-21,16,Slots,Desktop,6,18,5.25
S000092,P100007,Paid Search,2025-04-23,18,Sportsbook,iOS App,5,8,-8.96
S000093,P100007,Paid Search,2025-04-24,19,Slots,Mobile Web,16,27,49.26
S000094,P100008,Organic,2025-06-27,0,Bingo,Desktop,8,9,23.74
S000095,P100009,Affiliate,2025-05-06,0,Bingo,Desktop,3,5,1.21
S000096,P100009,Affiliate,2025-05-09,3,Live Dealer,Mobile Web,22,33,7.91
S000097,P100009,Affiliate,2025-05-23,17,Slots,iOS App,27,43,97.72
S000098,P100009,Affiliate,2025-05-24,18,Sportsbook,Android App,16,34,-166.41
S000099,P100009,Affiliate,2025-05-26,20,Sportsbook,Mobile Web,17,33,-68.59
S000100,P100009,Affiliate,2025-05-27,21,Sportsbook,iOS App,73,162,576.36
S000101,P100009,Affiliate,2025-06-04,29,Live Dealer,iOS App,17,54,-24.59
S000102,P100010,Retail Crossover,2025-01-21,0,Live Dealer,Mobile Web,10,22,-37.67
S000103,P100010,Retail Crossover,2025-01-23,2,Table Games,iOS App,187,207,472.77
S000104,P100010,Retail Crossover,2025-01-26,5,Table Games,Android App,12,13,-50.13
S000105,P100010,Retail Crossover,2025-01-27,6,Sportsbook,iOS App,72,204,-100.64
S000106,P100011,Paid Search,2025-06-07,0,Sportsbook,Mobile Web,4,4,-5.35
S000107,P100011,Paid Search,2025-06-10,3,Table Games,Android App,16,11,-82.65
S000108,P100011,Paid Search,2025-06-12,5,Sportsbook,iOS App,21,11,-20.98
S000109,P100011,Paid Search,2025-06-14,7,Sportsbook,Desktop,14,14,72.31
S000110,P100011,Paid Search,2025-06-15,8,Table Games,Desktop,13,40,-24.21
S000111,P100011,Paid Search,2025-06-17,10,Sportsbook,Android App,14,33,84.04
S000112,P100011,Paid Search,2025-07-01,24,Slots,iOS App,10,20,30.79
S000113,P100011,Paid Search,2025-07-06,29,Slots,Mobile Web,10,31,-129.03
S000114,P100012,Retail Crossover,2025-03-30,0,Bingo,Android App,23,15,59.93
S000115,P100012,Retail Crossover,2025-04-02,3,Live Dealer,Desktop,90,255,1165.72
S000116,P100012,Retail Crossover,2025-04-10,11,Slots,Android App,25,15,11.92
S000117,P100013,Affiliate,2025-05-05,0,Slots,Android App,58,43,13.42
S000118,P100013,Affiliate,2025-05-19,14,Sportsbook,Desktop,33,71,197.19
S000119,P100013,Affiliate,2025-05-20,15,Table Games,iOS App,7,14,35.93
S000120,P100014,Paid Search,2025-05-01,0,Live Dealer,Mobile Web,30,35,46.09
S000121,P100014,Paid Search,2025-05-02,1,Table Games,Android App,10,5,1.98
S000122,P100014,Paid Search,2025-05-07,6,Sportsbook,Desktop,8,21,2.96
S000123,P100015,Paid Social,2025-02-03,0,Live Dealer,Mobile Web,12,10,-82.64
S000124,P100015,Paid Social,2025-02-04,1,Slots,Mobile Web,116,316,-1900.85
S000125,P100015,Paid Social,2025-02-05,2,Slots,Desktop,15,42,-106.12
S000126,P100015,Paid Social,2025-02-06,3,Live Dealer,Mobile Web,23,36,-54.93
S000127,P100015,Paid Social,2025-02-09,6,Live Dealer,Desktop,12,16,-24.16
S000128,P100016,Organic,2025-01-03,0,Slots,iOS App,9,13,30.6
S000129,P100017,Paid Social,2025-06-19,0,Bingo,iOS App,26,29,126.34
S000130,P100017,Paid Social,2025-06-27,8,Table Games,Desktop,13,12,-1.05
S000131,P100017,Paid Social,2025-06-30,11,Live Dealer,iOS App,8,7,3.89
S000132,P100018,Retail Crossover,2025-05-09,0,Table Games,Mobile Web,24,53,41.08
S000133,P100019,Retail Crossover,2025-03-01,0,Table Games,iOS App,29,42,-6.0
S000134,P100019,Retail Crossover,2025-03-04,3,Bingo,Mobile Web,23,39,10.24
S000135,P100019,Retail Crossover,2025-03-06,5,Live Dealer,iOS App,12,34,62.45
S000136,P100019,Retail Crossover,2025-03-07,6,Live Dealer,Android App,20,37,330.95
S000137,P100020,Organic,2025-01-23,0,Live Dealer,iOS App,19,11,-1.0
S000138,P100020,Organic,2025-01-26,3,Live Dealer,Mobile Web,14,19,-12.42
S000139,P100020,Organic,2025-02-09,17,Slots,Android App,21,56,-107.38
S000140,P100020,Organic,2025-02-10,18,Bingo,iOS App,131,413,334.67
S000141,P100020,Organic,2025-02-24,32,Sportsbook,iOS App,10,11,-7.73
S000142,P100020,Organic,2025-02-27,35,Slots,Desktop,45,122,-92.76
S000143,P100020,Organic,2025-03-13,49,Table Games,Android App,12,13,11.14
S000144,P100021,Paid Social,2025-02-05,0,Table Games,iOS App,22,52,-85.89
S000145,P100021,Paid Social,2025-02-08,3,Bingo,iOS App,10,17,-29.49
S000146,P100021,Paid Social,2025-02-16,11,Sportsbook,iOS App,17,21,61.83
S000147,P100021,Paid Social,2025-02-18,13,Sportsbook,iOS App,46,66,111.67
S000148,P100021,Paid Social,2025-02-19,14,Sportsbook,Desktop,15,22,-43.55
S000149,P100021,Paid Social,2025-02-24,19,Live Dealer,Android App,14,27,-0.22
S000150,P100021,Paid Social,2025-02-27,22,Slots,iOS App,20,62,-352.07
S000151,P100021,Paid Social,2025-03-01,24,Table Games,Mobile Web,8,20,23.84
S000152,P100021,Paid Social,2025-03-04,27,Bingo,Mobile Web,9,22,-109.93
S000153,P100021,Paid Social,2025-03-05,28,Live Dealer,iOS App,23,12,-80.73
S000154,P100021,Paid Social,2025-03-10,33,Bingo,Desktop,14,41,-3.45
S000155,P100021,Paid Social,2025-03-11,34,Bingo,Desktop,56,173,-567.66
S000156,P100021,Paid Social,2025-03-12,35,Sportsbook,Desktop,5,14,-20.07
S000157,P100021,Paid Social,2025-03-13,36,Table Games,Desktop,15,30,-43.63
S000158,P100021,Paid Social,2025-03-14,37,Sportsbook,Mobile Web,16,37,86.75
S000159,P100021,Paid Social,2025-03-17,40,Live Dealer,iOS App,34,79,-265.66
S000160,P100021,Paid Social,2025-03-25,48,Slots,Android App,28,60,6.47
S000161,P100021,Paid Social,2025-03-30,53,Live Dealer,iOS App,40,56,218.51
S000162,P100021,Paid Social,2025-04-07,61,Slots,Android App,6,4,5.72
S000163,P100021,Paid Social,2025-04-08,62,Table Games,Desktop,18,11,-11.55
S000164,P100021,Paid Social,2025-04-09,63,Live Dealer,Desktop,16,22,-134.06
S000165,P100021,Paid Social,2025-04-12,66,Live Dealer,Android App,16,40,-120.14
S000166,P100022,Retail Crossover,2025-05-20,0,Table Games,Mobile Web,30,87,457.73
S000167,P100022,Retail Crossover,2025-05-25,5,Bingo,Desktop,71,201,512.04
S000168,P100022,Retail Crossover,2025-05-28,8,Table Games,Desktop,18,49,43.49
S000169,P100022,Retail Crossover,2025-05-31,11,Live Dealer,Android App,42,35,131.44
S000170,P100022,Retail Crossover,2025-06-08,19,Bingo,Mobile Web,56,113,59.24
S000171,P100022,Retail Crossover,2025-06-16,27,Sportsbook,Mobile Web,24,75,-64.85
S000172,P100022,Retail Crossover,2025-06-24,35,Slots,iOS App,14,27,156.52
S000173,P100023,Retail Crossover,2025-04-14,0,Bingo,Desktop,14,36,281.26
S000174,P100023,Retail Crossover,2025-04-15,1,Bingo,iOS App,15,46,64.38
S000175,P100023,Retail Crossover,2025-04-18,4,Live Dealer,Mobile Web,7,11,-31.63
S000176,P100023,Retail Crossover,2025-04-26,12,Bingo,Mobile Web,12,5,19.46
S000177,P100023,Retail Crossover,2025-04-27,13,Bingo,Desktop,14,7,32.02
S000178,P100023,Retail Crossover,2025-05-02,18,Sportsbook,Mobile Web,39,60,-100.38
S000179,P100023,Retail Crossover,2025-05-07,23,Slots,Android App,21,65,-153.1
S000180,P100023,Retail Crossover,2025-05-12,28,Table Games,iOS App,21,59,624.58
S000181,P100023,Retail Crossover,2025-05-20,36,Slots,Mobile Web,16,48,-159.1
S000182,P100023,Retail Crossover,2025-06-03,50,Sportsbook,Mobile Web,80,84,26.94
S000183,P100023,Retail Crossover,2025-06-06,53,Live Dealer,Android App,17,23,54.17
S000184,P100023,Retail Crossover,2025-06-11,58,Bingo,iOS App,46,90,-429.35
S000185,P100024,Retail Crossover,2025-02-12,0,Live Dealer,iOS App,21,21,118.62
S000186,P100025,Organic,2025-06-10,0,Bingo,Desktop,7,11,-17.34
S000187,P100026,Affiliate,2025-04-15,0,Table Games,Mobile Web,3,8,-4.2
S000188,P100026,Affiliate,2025-04-16,1,Slots,Android App,12,27,32.27
S000189,P100026,Affiliate,2025-04-30,15,Table Games,Android App,54,135,382.39
S000190,P100026,Affiliate,2025-05-08,23,Bingo,Mobile Web,43,47,-62.41
S000191,P100027,Paid Social,2025-02-20,0,Bingo,Desktop,16,50,19.29
S000192,P100027,Paid Social,2025-02-21,1,Live Dealer,Desktop,68,213,-9.78
S000193,P100027,Paid Social,2025-02-24,4,Live Dealer,Desktop,21,33,84.8
S000194,P100027,Paid Social,2025-02-25,5,Table Games,Desktop,35,98,325.09
S000195,P100027,Paid Social,2025-02-26,6,Bingo,Android App,23,18,-84.54
S000196,P100027,Paid Social,2025-02-27,7,Table Games,Desktop,32,75,-34.04
S000197,P100028,Affiliate,2025-05-08,0,Slots,iOS App,24,26,-153.37
S000198,P100028,Affiliate,2025-05-22,14,Bingo,Android App,22,66,73.66
S000199,P100028,Affiliate,2025-05-27,19,Bingo,Android App,39,63,89.48
S000200,P100028,Affiliate,2025-05-29,21,Table Games,Desktop,23,43,-31.02
S000201,P100028,Affiliate,2025-06-06,29,Live Dealer,Mobile Web,28,29,-89.05
S000202,P100028,Affiliate,2025-06-07,30,Live Dealer,iOS App,50,33,55.27
S000203,P100028,Affiliate,2025-06-10,33,Sportsbook,iOS App,18,42,81.73
S000204,P100028,Affiliate,2025-06-24,47,Bingo,Mobile Web,35,102,391.96
S000205,P100028,Affiliate,2025-06-29,52,Slots,iOS App,13,41,-145.91
S000206,P100028,Affiliate,2025-07-01,54,Live Dealer,Android App,53,39,-99.44
S000207,P100028,Affiliate,2025-07-09,62,Sportsbook,iOS App,12,5,-0.86
S000208,P100028,Affiliate,2025-07-14,67,Live Dealer,Android App,18,32,13.5
S000209,P100029,Retail Crossover,2025-03-23,0,Sportsbook,Android App,11,13,-59.02
S000210,P100029,Retail Crossover,2025-03-25,2,Bingo,iOS App,16,9,-3.76
S000211,P100029,Retail Crossover,2025-04-08,16,Table Games,iOS App,14,26,-1.78
S000212,P100029,Retail Crossover,2025-04-16,24,Table Games,Android App,18,46,8.25
S000213,P100029,Retail Crossover,2025-04-24,32,Table Games,iOS App,7,10,-14.59
S000214,P100029,Retail Crossover,2025-05-08,46,Slots,iOS App,34,88,478.88
S000215,P100029,Retail Crossover,2025-05-13,51,Sportsbook,Android App,9,7,-0.72
S000216,P100030,Organic,2025-05-14,0,Slots,iOS App,44,63,-87.35
S000217,P100030,Organic,2025-05-19,5,Bingo,Android App,9,8,-1.7
S000218,P100030,Organic,2025-06-02,19,Slots,Desktop,17,23,96.45
S000219,P100030,Organic,2025-06-07,24,Live Dealer,Android App,15,28,28.43
S000220,P100030,Organic,2025-06-12,29,Bingo,Mobile Web,21,62,-115.53
S000221,P100030,Organic,2025-06-13,30,Live Dealer,Desktop,11,4,-2.64
S000222,P100030,Organic,2025-06-18,35,Bingo,Desktop,21,66,-2.9
S000223,P100030,Organic,2025-06-21,38,Table Games,Mobile Web,15,26,3.28
S000224,P100030,Organic,2025-06-29,46,Sportsbook,iOS App,11,5,9.66
S000225,P100031,Paid Social,2025-02-01,0,Table Games,Mobile Web,5,15,0.48
S000226,P100032,Retail Crossover,2025-06-16,0,Table Games,iOS App,11,12,-8.33
S000227,P100032,Retail Crossover,2025-06-17,1,Table Games,Android App,121,311,52.13
S000228,P100032,Retail Crossover,2025-06-25,9,Slots,Desktop,7,20,91.12
S000229,P100032,Retail Crossover,2025-06-28,12,Bingo,iOS App,81,89,460.95
S000230,P100032,Retail Crossover,2025-07-03,17,Sportsbook,iOS App,38,31,69.62
S000231,P100032,Retail Crossover,2025-07-17,31,Live Dealer,Mobile Web,8,18,-5.72
S000232,P100032,Retail Crossover,2025-07-19,33,Live Dealer,Desktop,41,77,65.99
S000233,P100032,Retail Crossover,2025-07-20,34,Slots,Mobile Web,78,142,162.37
S000234,P100032,Retail Crossover,2025-08-03,48,Live Dealer,Android App,23,28,121.61
S000235,P100032,Retail Crossover,2025-08-11,56,Slots,Android App,12,21,35.53
S000236,P100032,Retail Crossover,2025-08-19,64,Slots,iOS App,13,40,227.37
S000237,P100032,Retail Crossover,2025-08-20,65,Table Games,iOS App,28,66,-124.27
S000238,P100032,Retail Crossover,2025-08-28,73,Sportsbook,Desktop,6,14,-33.06
S000239,P100032,Retail Crossover,2025-09-11,87,Bingo,Desktop,19,15,3.14
S000240,P100032,Retail Crossover,2025-09-25,101,Live Dealer,Desktop,33,30,96.66
S000241,P100032,Retail Crossover,2025-09-28,104,Table Games,Desktop,20,34,46.02
S000242,P100032,Retail Crossover,2025-10-03,109,Table Games,iOS App,15,11,-24.89
S000243,P100032,Retail Crossover,2025-10-11,117,Live Dealer,Android App,9,22,-37.51
S000244,P100032,Retail Crossover,2025-10-12,118,Bingo,iOS App,70,124,598.85
S000245,P100032,Retail Crossover,2025-10-15,121,Bingo,Android App,28,39,80.37
S000246,P100032,Retail Crossover,2025-10-16,122,Live Dealer,Desktop,80,159,-182.16
S000247,P100032,Retail Crossover,2025-10-17,123,Slots,Android App,182,498,1217.91
S000248,P100032,Retail Crossover,2025-10-22,128,Slots,Desktop,13,14,44.51
S000249,P100033,Affiliate,2025-05-31,0,Bingo,iOS App,12,32,-13.16
S000250,P100033,Affiliate,2025-06-02,2,Bingo,iOS App,15,6,-12.98
S000251,P100034,Retail Crossover,2025-04-17,0,Live Dealer,Android App,32,72,-213.27
S000252,P100034,Retail Crossover,2025-05-01,14,Table Games,Mobile Web,12,10,-5.26
S000253,P100034,Retail Crossover,2025-05-15,28,Live Dealer,Mobile Web,9,22,8.31
S000254,P100035,Paid Social,2025-04-01,0,Bingo,iOS App,15,12,-27.5
S000255,P100035,Paid Social,2025-04-02,1,Bingo,Desktop,17,7,2.07
S000256,P100036,Paid Search,2025-01-13,0,Bingo,iOS App,21,60,46.4
S000257,P100036,Paid Search,2025-01-15,2,Sportsbook,Desktop,42,87,14.89
S000258,P100036,Paid Search,2025-01-18,5,Live Dealer,Mobile Web,46,35,2.25
S000259,P100037,Organic,2025-02-26,0,Bingo,Desktop,39,90,81.46
S000260,P100038,Paid Social,2025-01-23,0,Bingo,Android App,14,26,28.71
S000261,P100039,Paid Social,2025-03-23,0,Live Dealer,Desktop,8,8,58.9
S000262,P100040,Organic,2025-06-26,0,Bingo,Mobile Web,46,145,-382.94
S000263,P100041,Affiliate,2025-02-22,0,Slots,Desktop,12,33,120.0
S000264,P100042,Retail Crossover,2025-06-13,0,Slots,Android App,21,55,15.44
S000265,P100043,Retail Crossover,2025-04-18,0,Live Dealer,Desktop,39,117,474.65
S000266,P100044,Retail Crossover,2025-05-02,0,Bingo,Mobile Web,68,120,652.52
S000267,P100045,Paid Search,2025-02-20,0,Sportsbook,iOS App,10,8,9.44
S000268,P100046,Retail Crossover,2025-03-27,0,Table Games,Mobile Web,7,21,50.69
S000269,P100047,Organic,2025-06-08,0,Live Dealer,iOS App,58,50,-194.36
S000270,P100047,Organic,2025-06-10,2,Live Dealer,Desktop,18,23,24.18
S000271,P100048,Retail Crossover,2025-02-25,0,Bingo,Desktop,17,36,-19.67
S000272,P100048,Retail Crossover,2025-03-11,14,Live Dealer,Desktop,8,14,-9.45
S000273,P100049,Retail Crossover,2025-05-06,0,Sportsbook,iOS App,30,51,-374.11
S000274,P100049,Retail Crossover,2025-05-09,3,Live Dealer,Android App,8,11,-27.91
S000275,P100049,Retail Crossover,2025-05-12,6,Table Games,Mobile Web,9,14,-2.65
S000276,P100049,Retail Crossover,2025-05-20,14,Live Dealer,Android App,14,7,-1.46
S000277,P100049,Retail Crossover,2025-05-25,19,Bingo,Android App,25,36,-114.12
S000278,P100049,Retail Crossover,2025-05-27,21,Slots,Desktop,18,7,-73.3
S000279,P100049,Retail Crossover,2025-06-01,26,Bingo,Mobile Web,5,9,12.67
S000280,P100049,Retail Crossover,2025-06-03,28,Sportsbook,Android App,47,128,837.84
S000281,P100049,Retail Crossover,2025-06-11,36,Live Dealer,Android App,13,12,-5.51
S000282,P100049,Retail Crossover,2025-06-19,44,Live Dealer,Mobile Web,15,42,3.15
S000283,P100049,Retail Crossover,2025-07-03,58,Slots,Desktop,18,31,40.42
S000284,P100049,Retail Crossover,2025-07-05,60,Bingo,Android App,22,22,-0.6
S000285,P100049,Retail Crossover,2025-07-06,61,Sportsbook,iOS App,14,33,-255.79
S000286,P100049,Retail Crossover,2025-07-07,62,Bingo,iOS App,34,37,30.84
S000287,P100049,Retail Crossover,2025-07-08,63,Sportsbook,Android App,60,148,-108.36
S000288,P100049,Retail Crossover,2025-07-09,64,Table Games,Mobile Web,22,61,-68.07
S000289,P100049,Retail Crossover,2025-07-11,66,Table Games,iOS App,22,20,-42.74
S000290,P100049,Retail Crossover,2025-07-12,67,Slots,Desktop,32,87,449.65
S000291,P100049,Retail Crossover,2025-07-17,72,Bingo,Mobile Web,27,60,109.28
S000292,P100049,Retail Crossover,2025-07-25,80,Table Games,Desktop,28,19,84.05
S000293,P100049,Retail Crossover,2025-08-08,94,Live Dealer,Mobile Web,9,22,31.73
S000294,P100049,Retail Crossover,2025-08-10,96,Bingo,iOS App,13,40,-62.65
S000295,P100049,Retail Crossover,2025-08-13,99,Slots,Desktop,23,37,504.86
S000296,P100049,Retail Crossover,2025-08-16,102,Table Games,Android App,20,50,-6.08
S000297,P100049,Retail Crossover,2025-08-18,104,Table Games,Desktop,12,32,6.47
S000298,P100050,Organic,2025-02-23,0,Live Dealer,iOS App,11,14,2.66
S000299,P100051,Paid Social,2025-05-17,0,Sportsbook,iOS App,7,18,-22.66
S000300,P100052,Affiliate,2025-06-18,0,Bingo,Android App,7,7,11.37
S000301,P100052,Affiliate,2025-06-19,1,Slots,Mobile Web,14,22,35.85
S000302,P100053,Paid Social,2025-02-22,0,Slots,Android App,6,18,-65.19
S000303,P100053,Paid Social,2025-02-27,5,Live Dealer,Android App,18,12,12.14
S000304,P100053,Paid Social,2025-03-01,7,Table Games,Desktop,25,17,-3.56
S000305,P100053,Paid Social,2025-03-02,8,Bingo,iOS App,17,20,8.37
S000306,P100053,Paid Social,2025-03-10,16,Table Games,iOS App,29,46,-122.36
S000307,P100053,Paid Social,2025-03-24,30,Live Dealer,Mobile Web,25,69,170.42
S000308,P100053,Paid Social,2025-03-29,35,Slots,Desktop,18,11,3.04
S000309,P100053,Paid Social,2025-04-12,49,Sportsbook,Desktop,17,39,3.83
S000310,P100053,Paid Social,2025-04-26,63,Slots,Mobile Web,55,26,25.86
S000311,P100053,Paid Social,2025-05-01,68,Sportsbook,Android App,7,15,54.65
S000312,P100053,Paid Social,2025-05-09,76,Table Games,Desktop,21,49,-321.71
S000313,P100053,Paid Social,2025-05-10,77,Live Dealer,Mobile Web,14,31,24.99
S000314,P100054,Retail Crossover,2025-03-26,0,Slots,Mobile Web,17,50,14.09
S000315,P100055,Retail Crossover,2025-04-26,0,Bingo,Android App,11,9,11.47
S000316,P100055,Retail Crossover,2025-04-28,2,Table Games,iOS App,50,21,69.44
S000317,P100055,Retail Crossover,2025-04-29,3,Table Games,iOS App,36,63,1044.25
S000318,P100055,Retail Crossover,2025-05-13,17,Bingo,iOS App,5,12,-19.62
S000319,P100055,Retail Crossover,2025-05-18,22,Sportsbook,Desktop,11,24,114.45
S000320,P100056,Paid Search,2025-05-19,0,Live Dealer,iOS App,7,20,-20.71
S000321,P100056,Paid Search,2025-05-22,3,Slots,Android App,9,8,4.51
